query,clicks,impressions,ctr,position
"what to eat","0","1","0","1"
"wine bar sofia","0","1","0","2"
"аржентински ресторант софия","0","1","0","20"
"бирарии софия","0","1","0","1"
"брънч софия","0","1","0","1"
"дъмплинги софия","0","1","0","1"
"заведение за хранене","0","1","0","1"
"заведения в софия център","0","1","0","1"
"места за хранене","0","1","0","5"
"места за ядене в софия","0","1","0","2"
"ресторант градина","0","1","0","2"
"ресторант софия","0","1","0","2"
"ресторанти наблизо","0","1","0","2"
"ресторанти с градина софия център","0","1","0","2"
"сирене българе","0","1","0","12"
"френски ресторант софия център","0","1","0","4"
"хубави заведения в софия","0","1","0","1"
