date,clicks,impressions,ctr,position
"2026-05-03","0","0","0","0"
"2026-05-04","0","1","0","7"
"2026-05-05","1","17","0.058823529411764705","5.588235294117647"
"2026-05-06","1","39","0.02564102564102564","5.512820512820513"
"2026-05-07","3","59","0.05084745762711865","4.406779661016949"
"2026-05-08","0","34","0","4.529411764705882"
"2026-05-09","2","73","0.0273972602739726","4.616438356164384"
"2026-05-10","1","36","0.027777777777777776","4.222222222222222"
"2026-05-11","1","43","0.023255813953488372","4.558139534883721"
"2026-05-12","2","76","0.02631578947368421","4.5"
"2026-05-13","5","57","0.08771929824561403","5.12280701754386"
"2026-05-14","4","63","0.06349206349206349","5.5396825396825395"
"2026-05-15","6","49","0.12244897959183673","5.489795918367347"
"2026-05-16","2","61","0.03278688524590164","4.9016393442622945"
"2026-05-17","2","27","0.07407407407407407","4.444444444444445"
"2026-05-18","1","31","0.03225806451612903","4.096774193548387"
"2026-05-19","2","75","0.02666666666666667","4.786666666666667"
"2026-05-20","2","69","0.028985507246376812","4.63768115942029"
"2026-05-21","2","55","0.03636363636363636","4.236363636363636"
"2026-05-22","2","44","0.045454545454545456","5.340909090909091"
"2026-05-23","3","45","0.06666666666666667","4.711111111111111"
"2026-05-24","8","165","0.048484848484848485","4.090909090909091"
"2026-05-25","5","76","0.06578947368421052","4.328947368421053"
"2026-05-26","11","118","0.09322033898305085","3.516949152542373"
"2026-05-27","7","114","0.06140350877192982","3.956140350877193"
"2026-05-28","6","105","0.05714285714285714","4.628571428571428"
"2026-05-29","12","167","0.0718562874251497","3.9161676646706587"
"2026-05-30","6","159","0.03773584905660377","4.440251572327044"
"2026-05-31","6","146","0.0410958904109589","5.2465753424657535"
"2026-06-01","10","82","0.12195121951219512","6.353658536585366"
"2026-06-02","6","125","0.048","4.184"
"2026-06-03","7","132","0.05303030303030303","4.121212121212121"
"2026-06-04","9","115","0.0782608695652174","3.7304347826086954"
"2026-06-05","13","171","0.07602339181286549","3.8771929824561404"
"2026-06-06","13","144","0.09027777777777778","3.9166666666666665"
